seed 123456789;Tempo;Popolazione;PopolazioneVeicoliPiccoli;PopolazioneVeicoliGrandi;Sistema
;0.0;0.0;0.0;0.0;
;65.67027277902827;1.0;1.0;0.0;
;444.27306502216567;2.0;1.0;1.0;
;449.2495417442021;3.0;2.0;1.0;
;460.3029532291972;4.0;3.0;1.0;
;489.85550467915846;5.0;3.0;2.0;
;555.8629296280037;6.0;4.0;2.0;
;686.5677506871216;7.0;5.0;2.0;
;712.1058933916984;8.0;6.0;2.0;
;744.3868737810153;8.0;6.0;2.0;
;781.4105784357979;8.0;6.0;2.0;
;1057.1418615786033;9.0;7.0;2.0;
;1069.6972997023738;9.0;7.0;2.0;
;1178.2509738366964;8.0;7.0;1.0;
;1186.02333873761;8.0;6.0;2.0;
;1289.6742512028773;8.0;6.0;2.0;
;1368.9555074828145;8.0;5.0;3.0;
;1488.3067516159774;9.0;6.0;3.0;
;1561.039716472054;9.0;6.0;3.0;
;1592.7158362672762;8.0;6.0;2.0;
;1838.6963540305;7.0;5.0;2.0;
;2016.2140381866077;7.0;4.0;3.0;
;2092.499566378558;8.0;4.0;4.0;
;2094.69237682205;8.0;4.0;4.0;
;2101.4557893440374;9.0;5.0;4.0;
;2146.8177450892526;9.0;5.0;4.0;
;2322.322196974524;8.0;4.0;4.0;
;2470.042997948665;8.0;4.0;4.0;
;2650.753366686883;7.0;3.0;4.0;
;2659.020818076896;6.0;3.0;3.0;
;2671.739177699565;5.0;3.0;2.0;
;2713.340033463607;6.0;3.0;3.0;
;2732.020495154401;7.0;3.0;4.0;
;3107.820013896338;8.0;4.0;4.0;
;3144.381095710024;9.0;5.0;4.0;
;3193.4617080801254;9.0;5.0;4.0;
;3215.8821405261897;8.0;5.0;3.0;
;3242.154865430143;7.0;4.0;3.0;
;3349.298320040667;7.0;4.0;3.0;
;3377.685662777098;5.0;3.0;2.0;
;3576.1171790734047;6.0;4.0;2.0;
;3610.766937292228;7.0;4.0;3.0;
;3638.8432342110327;7.0;4.0;3.0;
;3720.66548927809;6.0;3.0;3.0;
;3868.322543746756;7.0;4.0;3.0;
;3894.718383129132;8.0;4.0;4.0;
;4103.73933917275;8.0;4.0;4.0;
;4229.73554952995;8.0;4.0;4.0;
